"id_ind","id_men","region","age","sexe","etat_matri","alphabet","activite","handicap","poids"
"IND00083","MEN1039","Nord-Ouest",32,2,"Celibataire",1,"Inactif",0,0.911
"IND00084","MEN1190","Centre",7,2,"Marie",0,"Occupe",0,0.893
"IND00085","MEN0917","Est",75,1,"Celibataire",1,"Occupe",0,0.947
"IND00086","MEN0355","Sud",64,1,"Marie",1,"Inactif",0,0.92
"IND00087","MEN0381","Extreme-Nord",0,2,"Celibataire",1,"Occupe",1,0.97
"IND00088","MEN1201","Centre",0,1,"Celibataire",0,"Occupe",0,1.181
"IND00089","MEN1395","Ouest",3,1,"Marie",1,"Occupe",0,0.996
"IND00090","MEN0133","Centre",25,2,"Celibataire",0,"Occupe",0,0.88
"IND00091","MEN0126","Sud-Ouest",10,1,"Celibataire",0,"Inactif",0,0.989
"IND00092","MEN1281","Adamaoua",21,2,"Marie",1,"Occupe",0,0.832
"IND00093","MEN0425","Est",0,2,"Marie",NA,"Occupe",0,1.058
"IND00094","MEN0656","Extreme-Nord",7,1,"Celibataire",1,"Occupe",0,1.031
"IND00095","MEN0518","Centre",1,2,"Marie",1,"Inactif",0,0.837
"IND00096","MEN0954","Nord-Ouest",7,2,"Marie",1,"Occupe",0,1.182
"IND00097","MEN0351","Sud-Ouest",9,1,"Celibataire",0,"Inactif",0,0.956
"IND00098","MEN1236","Ouest",70,1,"Veuf",1,"Occupe",0,0.965
"IND00099","MEN0016","Nord-Ouest",9,1,"Marie",0,"Occupe",0,0.958
"IND00100","MEN0395","Centre",29,2,"Celibataire",0,"Inactif",0,1.19
"IND00101","MEN0721","Extreme-Nord",10,2,"Celibataire",0,"Inactif",0,0.807
"IND00102","MEN1405","Nord",15,1,"Marie",0,"Occupe",1,0.855
"IND00103","MEN1224","Nord",90,2,"Marie",1,"Occupe",0,1.06
"IND00104","MEN1063","Ouest",2,1,"Marie",0,"Occupe",0,1.171
"IND00105","MEN0776","Ouest",30,2,"Marie",1,"Occupe",0,0.921
"IND00106","MEN0064","Sud",75,1,"Marie",1,"Occupe",0,1.02
"IND00107","MEN0630","Extreme-Nord",66,1,"Veuf",0,"Occupe",0,1.002
"IND00108","MEN1119","Sud-Ouest",15,1,"Marie",0,"Occupe",0,0.822
"IND00109","MEN0624","Littoral",10,1,"Marie",1,"Inactif",0,1.106
"IND00110","MEN0242","Ouest",21,1,"Celibataire",1,"Occupe",0,0.986
"IND00111","MEN0733","Extreme-Nord",15,1,"Veuf",1,"Occupe",0,1.054
"IND00112","MEN1171","Nord",1,1,"Marie",1,"Occupe",0,0.885
"IND00113","MEN0829","Extreme-Nord",95,1,"Celibataire",0,"Occupe",0,1.114
"IND00114","MEN0353","Littoral",20,1,"Divorce",1,"Inactif",0,1.197
"IND00115","MEN1135","Littoral",6,1,"Veuf",1,"Inactif",0,0.823
"IND00116","MEN1401","Sud-Ouest",19,2,"Marie",1,"Chomeur",0,1.163
"IND00117","MEN0832","Nord-Ouest",15,1,"Celibataire",1,"Occupe",0,0.816
"IND00118","MEN1352","Centre",40,1,"Marie",0,"Occupe",0,0.954
"IND00119","MEN0978","Littoral",72,2,"Marie",1,"Chomeur",0,0.819
"IND00120","MEN0625","Est",33,1,"Marie",0,"Occupe",0,0.813
"IND00121","MEN0229","Sud",30,2,"Marie",NA,"Occupe",0,1.182
"IND00122","MEN1475","Nord",67,1,"Marie",0,"Chomeur",1,0.826
"IND00123","MEN0599","Littoral",45,2,"Marie",1,"Inactif",0,0.874
"IND00124","MEN0709","Nord",5,2,"Celibataire",0,"Inactif",0,0.857
"IND00125","MEN1314","Nord",40,1,"Celibataire",1,"Occupe",1,0.976
"IND00126","MEN0066","Adamaoua",3,1,"Marie",0,"Occupe",0,1.022
"IND00127","MEN1177","Ouest",5,2,"Celibataire",1,"Inactif",1,0.928
"IND00128","MEN1051","Nord",48,2,"Marie",0,"Occupe",0,1.107
"IND00129","MEN0855","Sud-Ouest",5,1,"Marie",0,"Chomeur",0,0.828
"IND00130","MEN0116","Sud-Ouest",7,1,"Celibataire",1,"Occupe",0,1.073
"IND00131","MEN0796","Centre",36,2,"Celibataire",1,"Occupe",0,0.846
"IND00132","MEN0301","Est",10,2,"Marie",1,"Inactif",0,0.922
"IND00133","MEN0031","Est",40,1,"Celibataire",1,"Occupe",0,0.981
"IND00134","MEN0464","Centre",71,1,"Marie",1,"Inactif",1,0.946
"IND00135","MEN1228","Extreme-Nord",3,1,"Veuf",1,"Chomeur",0,1.168
"IND00136","MEN1251","Centre",55,1,"Marie",0,"Inactif",1,1.074
"IND00137","MEN0406","Littoral",55,2,"Celibataire",0,"Occupe",0,1.144
"IND00138","MEN0317","Extreme-Nord",5,1,"Celibataire",1,"Occupe",0,0.975
"IND00139","MEN0566","Est",58,2,"Celibataire",1,"Occupe",0,0.875
"IND00140","MEN1443","Est",2,1,"Marie",1,"Occupe",0,1.038
"IND00141","MEN0257","Nord-Ouest",40,1,"Marie",1,"Inactif",0,1.151
"IND00142","MEN1244","Littoral",50,1,"Celibataire",1,"Occupe",0,1.082
"IND00143","MEN1298","Est",31,1,"Marie",1,"Inactif",1,0.921
"IND00144","MEN0103","Centre",30,2,"Marie",1,"Occupe",0,1.117
"IND00145","MEN0141","Extreme-Nord",56,2,"Marie",0,"Chomeur",0,1.093
"IND00146","MEN0936","Nord-Ouest",38,1,"Veuf",1,"Inactif",0,0.833
"IND00147","MEN1363","Littoral",9,1,"Celibataire",0,"Occupe",0,0.959
"IND00148","MEN0795","Extreme-Nord",9,2,"Marie",1,"Inactif",0,1.045
"IND00149","MEN1312","Nord-Ouest",15,2,"Marie",0,"Occupe",0,1.015
"IND00150","MEN1209","Centre",25,1,"Marie",1,"Occupe",0,0.916
"IND00151","MEN1075","Littoral",77,1,"Marie",1,"Inactif",0,1.189
"IND00152","MEN0811","Est",57,1,"Celibataire",1,"Inactif",0,0.905
"IND00153","MEN1111","Sud-Ouest",10,2,"Marie",1,"Chomeur",0,1.124
"IND00154","MEN1064","Extreme-Nord",29,1,"Celibataire",1,"Occupe",1,0.889
"IND00155","MEN0612","Ouest",22,2,"Celibataire",1,"Occupe",0,0.939
"IND00156","MEN0956","Nord",10,1,"Celibataire",0,"Inactif",0,1.161
"IND00157","MEN1024","Centre",20,2,"Celibataire",0,"Chomeur",0,1.161
"IND00158","MEN0996","Centre",11,1,"Divorce",1,"Inactif",0,0.841
"IND00159","MEN0641","Extreme-Nord",28,1,"Celibataire",0,"Occupe",0,1.125
"IND00160","MEN0473","Centre",20,2,"Celibataire",NA,"Inactif",0,1.099
"IND00161","MEN0180","Est",10,2,"Celibataire",1,"Occupe",0,0.814
"IND00162","MEN1393","Extreme-Nord",50,1,"Marie",1,"Occupe",0,0.899
"IND00163","MEN0002","Nord-Ouest",34,2,"Celibataire",1,"Inactif",0,1.04
"IND00164","MEN0590","Centre",5,1,"Celibataire",0,"Occupe",0,1.068
"IND00165","MEN0969","Extreme-Nord",9,1,"Celibataire",1,"Chomeur",0,1.004
"IND00166","MEN0422","Extreme-Nord",12,2,"Celibataire",0,"Chomeur",0,0.861
"IND00167","MEN0711","Ouest",20,2,"Marie",0,"Inactif",1,0.949
"IND00168","MEN1118","Littoral",45,1,"Marie",1,"Inactif",1,1.145
"IND00169","MEN1007","Nord",16,1,"Celibataire",1,"Occupe",0,1.174
"IND00170","MEN0444","Extreme Nord",10,2,"Celibataire",1,"Occupe",0,1.039
"IND00171","MEN1109","Extreme-Nord",7,2,"Marie",0,"Inactif",0,0.943
"IND00172","MEN0022","Extreme-Nord",95,2,"Celibataire",0,"Occupe",1,0.963
"IND00173","MEN1417","Nord",5,2,"Divorce",1,"Occupe",0,1.088
"IND00174","MEN0066","Adamaoua",10,2,"Veuf",1,"Inactif",0,1.123
"IND00175","MEN0592","Sud-Ouest",15,2,"Celibataire",1,"Occupe",0,1.181
"IND00176","MEN0062","Extreme Nord",2,2,"Celibataire",1,"Occupe",0,1.059
"IND00177","MEN0343","Ouest",65,2,"Marie",1,"Inactif",0,1.175
"IND00178","MEN1484","Littoral",55,1,"Marie",1,"Chomeur",0,1.172
"IND00179","MEN0228","Nord",5,1,"Marie",0,"Occupe",0,0.889
"IND00180","MEN0373","Centre",10,2,"Celibataire",1,"Occupe",0,0.872
"IND00181","MEN0776","Nord-Ouest",15,2,"Celibataire",1,"Chomeur",0,1.057
"IND00182","MEN0724","Nord",7,1,"Celibataire",NA,"Chomeur",0,1.06
"IND00183","MEN0487","Centre",5,2,"Celibataire",0,"Occupe",0,1.02
"IND00184","MEN0764","Sud",0,1,"Celibataire",1,"Occupe",0,1.156
"IND00185","MEN0151","Nord",77,1,"Marie",1,"Chomeur",0,0.978
"IND00186","MEN1138","Littoral",0,1,"Celibataire",1,"Inactif",0,1.033
"IND00187","MEN1179","Adamaoua",7,2,"Celibataire",NA,"Occupe",0,1.035
"IND00188","MEN0515","Ouest",27,2,"Celibataire",0,"Chomeur",0,1.182
"IND00189","MEN0549","Est",17,2,"Divorce",1,"Inactif",0,0.993
"IND00190","MEN0647","Centre",55,2,"Celibataire",1,"Inactif",0,0.878
"IND00191","MEN1214","Ouest",10,1,"Marie",0,"Occupe",0,1.198
"IND00192","MEN1263","Sud-Ouest",16,2,"Celibataire",1,"Occupe",0,1.2
"IND00193","MEN0858","Littoral",5,2,"Celibataire",1,"Occupe",0,1.055
"IND00194","MEN0267","Ouest",14,2,"Veuf",0,"Occupe",0,1.183
"IND00195","MEN0142","Ouest",20,1,"Divorce",0,"Chomeur",0,0.916
"IND00196","MEN0568","Nord-Ouest",15,2,"Marie",1,"Occupe",0,1.12
"IND00197","MEN0707","Littoral",25,2,"Celibataire",1,"Occupe",0,1.198
"IND00198","MEN1050","Nord",3,1,"Marie",1,"Inactif",0,1.072
"IND00199","MEN0926","Ouest",3,2,"Celibataire",0,"Occupe",0,0.842
"IND00200","MEN1256","Ouest",14,1,"Celibataire",1,"Occupe",0,0.829
"IND00201","MEN0032","Extreme-Nord",7,2,"Celibataire",0,"Occupe",0,0.844
"IND00202","MEN0711","Extreme-Nord",27,1,"Celibataire",0,"Inactif",1,1.102
"IND00203","MEN1202","Extreme-Nord",12,2,"Celibataire",1,"Occupe",0,0.986
"IND00204","MEN0894","Ouest",34,1,"Marie",0,"Chomeur",0,1.073
"IND00205","MEN0806","Nord-Ouest",10,1,"Celibataire",0,"Inactif",0,0.994
"IND00206","MEN0408","Extreme-Nord",10,1,"Marie",0,"Occupe",0,0.822
"IND00207","MEN0977","Extreme-Nord",5,2,"Marie",1,"Inactif",0,0.998
"IND00208","MEN1261","Extreme-Nord",40,1,"Celibataire",1,"Inactif",0,0.824
"IND00209","MEN0770","Sud-Ouest",5,1,"Celibataire",0,"Occupe",0,1.116
"IND00210","MEN0640","Centre",27,2,"Marie",0,"Occupe",0,1.039
"IND00211","MEN0844","Littoral",2,1,"Celibataire",1,"Inactif",0,1.099
"IND00212","MEN0267","Centre",35,2,"Marie",0,"Occupe",0,1.098
"IND00213","MEN0742","Extreme-Nord",24,2,"Marie",0,"Inactif",0,1.13
"IND00214","MEN1330","Ouest",23,1,"Veuf",1,"Occupe",0,0.994
"IND00215","MEN0775","Nord-Ouest",1,1,"Marie",0,"Inactif",0,1.138
"IND00216","MEN0201","Sud-Ouest",22,2,"Celibataire",1,"Occupe",0,0.979
"IND00217","MEN1272","Extreme-Nord",3,1,"Marie",0,"Inactif",0,0.993
"IND00218","MEN0616","Centre",1,2,"Marie",1,"Occupe",0,0.803
"IND00219","MEN0802","Ouest",1,1,"Marie",1,"Occupe",0,1.059
"IND00220","MEN0195","Est",21,2,"Veuf",1,"Chomeur",0,0.972
"IND00221","MEN1476","Littoral",3,1,"Marie",1,"Occupe",0,0.979
"IND00222","MEN0396","Est",49,1,"Marie",1,"Occupe",1,0.827
"IND00223","MEN1285","Adamaoua",4,1,"Celibataire",1,"Inactif",0,1.009
"IND00224","MEN0305","Ouest",10,1,"Celibataire",NA,"Occupe",0,1.06
"IND00225","MEN1455","Extreme-Nord",9,2,"Marie",NA,"Occupe",0,0.895
"IND00226","MEN1371","Centre",36,1,"Celibataire",1,"Occupe",0,1.001
"IND00227","MEN0543","Centre",7,2,"Celibataire",1,"Chomeur",0,0.998
"IND00228","MEN1353","Sud",60,1,"Marie",1,"Occupe",0,1.002
"IND00229","MEN1348","Nord",40,1,"Celibataire",0,"Chomeur",0,1.051
"IND00230","MEN0823","Centre",5,2,"Celibataire",1,"Chomeur",0,0.91
"IND00231","MEN1468","Ouest",45,2,"Celibataire",1,"Occupe",0,0.933
"IND00232","MEN1025","Ouest",14,1,"Marie",1,"Occupe",0,0.944
"IND00233","MEN1036","Extreme-Nord",25,1,"Celibataire",0,"Inactif",0,1.129
"IND00234","MEN1256","Nord",95,2,"Celibataire",0,"Inactif",0,0.914
"IND00235","MEN1167","Est",72,1,"Celibataire",1,"Occupe",0,0.823
"IND00236","MEN0546","Est",15,1,"Marie",NA,"Occupe",0,1.053
"IND00237","MEN0779","Nord-Ouest",1,2,"Marie",1,"Chomeur",0,1.068
"IND00238","MEN0732","Extreme-Nord",95,1,"Divorce",0,"Inactif",0,0.971
"IND00239","MEN0294","Centre",26,1,"Veuf",1,"Occupe",0,0.939
"IND00240","MEN0067","Centre",33,2,"Divorce",0,"Inactif",0,0.929
"IND00241","MEN1314","Nord",10,2,"Marie",0,"Occupe",0,0.957
"IND00242","MEN1159","Centre",40,1,"Celibataire",0,"Occupe",0,0.865
"IND00243","MEN0470","Adamaoua",35,2,"Celibataire",NA,"Inactif",0,1.124
"IND00244","MEN0413","Nord",60,2,"Celibataire",0,"Occupe",0,1.144
"IND00245","MEN1343","Sud",70,1,"Veuf",0,"Inactif",0,0.806
"IND00246","MEN0697","Sud",24,1,"Marie",1,"Occupe",0,1.114
"IND00247","MEN0553","Centre",6,1,"Celibataire",1,"Inactif",0,0.956
"IND00248","MEN0990","Nord",8,1,"Marie",1,"Occupe",0,0.884
"IND00249","MEN0514","Centre",20,2,"Marie",1,"Inactif",0,0.871
"IND00250","MEN0269","Centre",39,1,"Celibataire",1,"Inactif",0,0.816
"IND00251","MEN1029","Ouest",5,2,"Celibataire",1,"Inactif",0,1.153
"IND00252","MEN1482","Extreme-Nord",85,2,"Marie",0,"Inactif",0,0.915
"IND00253","MEN0597","Extreme-Nord",14,1,"Celibataire",1,"Inactif",0,1.072
"IND00254","MEN0731","Sud-Ouest",22,2,"Marie",1,"Occupe",0,0.939
"IND00255","MEN0036","Sud",30,1,"Celibataire",1,"Occupe",0,1.052
"IND00256","MEN1249","Nord-Ouest",30,1,"Celibataire",1,"Chomeur",0,1.128
"IND00257","MEN1385","Littoral",30,1,"Marie",0,"Inactif",0,1.051
"IND00258","MEN1040","Est",14,2,"Celibataire",1,"Inactif",0,1.009
"IND00259","MEN1354","Centre",14,2,"Marie",1,"Occupe",0,0.876
"IND00260","MEN0013","Centre",28,1,"Marie",1,"Occupe",0,0.858
"IND00261","MEN1250","Extreme-Nord",11,1,"Marie",1,"Occupe",0,0.902
"IND00262","MEN0035","Ouest",25,2,"Celibataire",0,"Occupe",0,0.983
"IND00263","MEN0067","Littoral",10,1,"Marie",1,"Inactif",0,0.956
"IND00264","MEN0016","Nord",30,1,"Celibataire",1,"Occupe",0,0.84
"IND00265","MEN0260","Est",5,1,"Marie",0,"Occupe",0,0.966
"IND00266","MEN1271","Nord",95,2,"Marie",1,"Chomeur",0,0.934
"IND00267","MEN0296","Sud",51,2,"Marie",1,"Chomeur",0,1.043
"IND00268","MEN1271","Sud",22,2,"Marie",1,"Occupe",0,0.988
"IND00269","MEN0507","Ouest",7,1,"Celibataire",1,"Occupe",0,1.015
"IND00270","MEN0664","Nord",41,2,"Celibataire",1,"Inactif",0,1.13
"IND00271","MEN0248","Nord-Ouest",95,2,"Veuf",0,"Occupe",0,1.084
"IND00272","MEN0884","Littoral",5,2,"Celibataire",1,"Occupe",0,1.001
"IND00273","MEN1053","Nord",11,2,"Celibataire",0,"Occupe",0,1.129
"IND00274","MEN1248","Centre",50,2,"Celibataire",0,"Inactif",0,0.817
"IND00275","MEN0481","Extreme-Nord",29,1,"Celibataire",1,"Occupe",0,1.146
"IND00276","MEN0376","Extreme-Nord",15,2,"Marie",1,"Occupe",0,1.077
"IND00277","MEN0294","Sud",15,1,"Celibataire",NA,"Occupe",0,0.816
"IND00278","MEN0870","Nord-Ouest",33,1,"Celibataire",1,"Inactif",0,0.977
"IND00279","MEN0356","Extreme-Nord",1,1,"Divorce",0,"Chomeur",0,1.158
"IND00280","MEN0516","Extreme-Nord",10,1,"Celibataire",0,"Occupe",0,1.104
"IND00281","MEN1274","Centre",21,1,"Marie",1,"Occupe",0,1.082
"IND00282","MEN1413","Ouest",20,2,"Celibataire",1,"Inactif",0,1.069
"IND00283","MEN1432","Sud-Ouest",1,1,"Marie",1,"Inactif",0,0.829
"IND00284","MEN0755","Nord",13,1,"Marie",0,"Occupe",0,0.988
"IND00285","MEN1244","Nord-Ouest",31,2,"Celibataire",0,"Inactif",0,1.159
"IND00286","MEN0422","Sud-Ouest",95,2,"Marie",1,"Chomeur",0,0.803
"IND00287","MEN0129","Centre",27,2,"Veuf",1,"Chomeur",0,0.805
"IND00288","MEN1283","Nord",10,1,"Celibataire",1,"Occupe",1,1.005
"IND00289","MEN0684","Nord-Ouest",1,2,"Marie",1,"Inactif",0,1.105
"IND00290","MEN1192","Centre",9,2,"Marie",0,"Inactif",0,1.098
"IND00291","MEN0323","Centre",2,1,"Celibataire",1,"Occupe",0,1.036
"IND00292","MEN0889","Est",32,2,"Divorce",1,"Inactif",0,1.175
"IND00293","MEN0331","Ouest",13,1,"Celibataire",1,"Occupe",0,0.887
"IND00294","MEN1376","Extreme-Nord",5,1,"Celibataire",0,"Chomeur",0,1.191
"IND00295","MEN1152","Adamaoua",26,1,"Marie",0,"Occupe",0,0.805
"IND00296","MEN0981","Est",11,2,"Marie",1,"Chomeur",0,0.929
"IND00297","MEN0814","Sud-Ouest",38,2,"Marie",1,"Occupe",0,0.813
"IND00298","MEN1378","Extreme-Nord",26,1,"Celibataire",1,"Occupe",0,1.182
"IND00299","MEN0580","Extreme-Nord",5,1,"Marie",1,"Inactif",0,0.899
"IND00300","MEN0342","Sud-Ouest",7,1,"Marie",1,"Inactif",0,0.987
"IND00301","MEN0178","Littoral",13,1,"Celibataire",1,"Inactif",0,0.884
"IND00302","MEN0190","Ouest",45,2,"Celibataire",NA,"Occupe",0,1.049
"IND00303","MEN1137","Nord-Ouest",25,2,"Celibataire",0,"Occupe",0,0.832
"IND00304","MEN0510","Ouest",53,2,"Celibataire",1,"Chomeur",0,0.973
"IND00305","MEN0948","Sud",29,2,"Marie",1,"Inactif",0,0.858
"IND00306","MEN0007","Centre",5,2,"Marie",1,"Occupe",0,0.83
"IND00307","MEN0429","Littoral",19,2,"Celibataire",1,"Occupe",0,0.935
"IND00308","MEN0157","Littoral",1,1,"Veuf",1,"Inactif",0,0.803
"IND00309","MEN0063","Nord-Ouest",33,1,"Celibataire",0,"Occupe",0,0.955
"IND00310","MEN1027","Ouest",23,2,"Marie",1,"Inactif",0,0.874
"IND00311","MEN0044","Nord-Ouest",29,2,"Celibataire",1,"Chomeur",0,1.129
"IND00312","MEN0868","Sud",15,1,"Marie",0,"Inactif",0,1.162
"IND00313","MEN0466","Adamaoua",21,1,"Marie",1,"Occupe",0,0.839
"IND00314","MEN0731","Nord",5,2,"Celibataire",0,"Occupe",0,0.884
"IND00315","MEN1219","Est",5,1,"Celibataire",1,"Occupe",0,0.975
"IND00316","MEN0352","Est",4,2,"Marie",1,"Inactif",0,1.097
"IND00317","MEN0466","Centre",20,2,"Marie",1,"Inactif",0,0.85
"IND00318","MEN0261","Centre",20,1,"Veuf",1,"Occupe",0,1.192
"IND00319","MEN1252","Extreme-Nord",0,1,"Celibataire",1,"Occupe",0,1.054
"IND00320","MEN1411","Nord",55,2,"Marie",0,"Occupe",1,0.8
"IND00321","MEN1012","Centre",3,1,"Marie",1,"Occupe",0,0.894
"IND00322","MEN0069","Centre",31,2,"Marie",1,"Occupe",0,1.084
"IND00323","MEN0232","Littoral",37,2,"Marie",0,"Inactif",0,0.868
"IND00324","MEN0877","Extreme-Nord",15,2,"Marie",1,"Chomeur",0,1.166
"IND00325","MEN1092","Centre",33,2,"Marie",1,"Chomeur",0,0.969
"IND00326","MEN0881","Ouest",17,2,"Marie",1,"Occupe",0,0.983
"IND00327","MEN0810","Sud-Ouest",20,2,"Marie",1,"Occupe",0,1.168
"IND00328","MEN0024","Nord",21,1,"Celibataire",1,"Occupe",0,0.843
"IND00329","MEN1047","Nord-Ouest",11,1,"Celibataire",0,"Chomeur",0,1.079
"IND00330","MEN0548","Adamaoua",81,2,"Marie",NA,"Chomeur",0,0.827
